from_stop_id,to_stop_id,transfer_type
673,655,0
1590,668,0
1215,668,0
1223,668,0
1223,669,0
1215,669,0
1590,669,0
718,674,0
718,675,0
1099,678,0
1099,679,0
1062,679,0
1062,681,0
722,682,0
1564,682,0
1567,682,0
1609,683,0
722,683,0
711,683,0
711,684,0
1609,684,0
727,685,0
709,685,0
1612,696,0
1219,696,0
709,702,0
727,702,0
708,702,0
1127,702,0
1129,708,0
1609,711,0
1567,712,0
1564,712,0
1609,722,0
1564,722,0
1651,726,0
1652,726,0
1129,727,0
1504,728,0
1498,728,0
1137,752,0
1180,752,0
1504,776,0
1498,776,0
1182,793,0
1135,793,0
1134,794,0
1183,794,0
1183,807,0
1134,807,0
1135,810,0
1182,810,0
850,821,0
851,821,0
839,821,0
1130,828,0
1297,828,0
1250,828,0
839,829,0
839,830,0
1247,858,0
1191,858,0
1191,865,0
1247,865,0
1189,868,0
1197,873,0
1241,873,0
1271,886,0
1276,886,0
1276,896,0
1271,896,0
1271,897,0
1276,897,0
973,955,0
1577,964,0
1577,965,0
1578,965,0
1578,966,0
1584,966,0
1580,968,0
1581,968,0
1582,968,0
1582,969,0
1583,969,0
1581,969,0
1583,970,0
1582,970,0
1585,970,0
1577,973,0
1583,975,0
1585,975,0
1579,977,0
1581,978,0
1580,978,0
1551,998,0
1654,1007,0
1306,1012,0
1227,1013,0
1211,1013,0
1488,1013,0
1483,1013,0
1024,1013,0
1226,1016,0
1212,1016,0
1483,1024,0
1488,1024,0
1227,1024,0
1211,1024,0
1212,1027,0
1226,1027,0
1216,1030,0
1222,1030,0
1086,1035,0
1086,1036,0
1087,1036,0
1611,1036,0
1086,1037,0
1084,1037,0
1085,1037,0
1085,1038,0
1084,1038,0
1083,1038,0
1083,1039,0
1084,1039,0
1082,1040,0
1081,1040,0
1081,1041,0
1080,1041,0
1082,1041,0
1080,1042,0
1081,1042,0
1079,1042,0
1079,1043,0
1575,1043,0
1078,1044,0
1077,1045,0
1076,1046,0
1073,1047,0
1074,1048,0
1075,1049,0
1072,1049,0
1072,1050,0
1075,1050,0
1070,1051,0
1071,1051,0
1071,1052,0
1070,1052,0
1069,1053,0
1067,1053,0
1068,1053,0
1068,1054,0
1069,1054,0
1465,1056,0
1426,1056,0
1094,1057,0
1362,1068,0
1362,1069,0
1575,1079,0
1425,1092,0
1465,1092,0
1361,1095,0
1470,1116,0
1628,1126,0
1629,1126,0
1343,1127,0
1219,1127,0
1129,1127,0
1629,1128,0
1628,1128,0
1219,1129,0
1250,1130,0
1297,1130,0
1348,1130,0
1345,1137,0
1593,1139,0
1594,1139,0
1600,1139,0
1607,1139,0
1174,1143,0
1173,1144,0
1232,1144,0
1206,1144,0
1206,1145,0
1232,1145,0
1173,1145,0
1172,1145,0
1171,1146,0
1170,1146,0
1170,1147,0
1171,1147,0
1169,1147,0
1406,1147,0
1262,1147,0
1285,1147,0
1674,1147,0
1675,1147,0
1170,1148,0
1166,1151,0
1475,1151,0
1485,1151,0
1487,1151,0
1235,1152,0
1203,1152,0
1165,1152,0
1164,1153,0
1280,1153,0
1267,1153,0
1486,1154,0
1163,1154,0
1486,1155,0
1617,1157,0
1616,1157,0
1588,1158,0
1474,1158,0
1187,1158,0
1616,1160,0
1617,1160,0
1486,1162,0
1486,1163,0
1267,1164,0
1280,1164,0
1203,1165,0
1235,1165,0
1487,1166,0
1485,1166,0
1475,1166,0
1262,1170,0
1285,1170,0
1406,1170,0
1675,1170,0
1674,1170,0
1232,1172,0
1206,1172,0
1206,1173,0
1232,1173,0
1593,1178,0
1607,1178,0
1600,1178,0
1594,1178,0
1345,1180,0
